timestamp,harness_version,config_fingerprint,endpoint_name,provider,model,base_url,thinking_effort,max_tokens,release_version,adaptive_thinking,checker_timeout,prompt_style,problem_id,difficulty,problem_number,run_idx,request_status,stop_reason,input_tokens,output_tokens,ttft_s,gen_time_s,total_wall_s,tokens_per_s,passed,error_type,error_message
2026-07-03T07:32:01.253725+00:00,2,9865e6f08db1be95,openai-model-fast-v6-hard1-80-xhigh-v2,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc387_f,hard,1,1,completed,completed,451,4214,19.639166,1.227026,20.938042,201.260,True,,
2026-07-03T07:32:26.549206+00:00,2,84c946c09e379fb1,anthropic-claude-fable-5-v6-hard1-80-xhigh-v2,anthropic,claude-fable-5,,xhigh,32000,v6,True,6,OpenAIChat,abc387_f,hard,1,1,completed,end_turn,596,3923,36.168522,8.241267,44.526494,88.105,True,,
2026-07-03T07:33:16.122580+00:00,2,84c946c09e379fb1,anthropic-claude-fable-5-v6-hard1-80-xhigh-v2,anthropic,claude-fable-5,,xhigh,32000,v6,True,6,OpenAIChat,abc387_f,hard,1,2,completed,end_turn,596,5154,48.189291,9.825563,58.017710,88.835,True,,
2026-07-03T07:34:18.031688+00:00,2,9865e6f08db1be95,openai-model-fast-v6-hard1-80-xhigh-v2,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc387_f,hard,1,2,completed,completed,451,3791,16.716181,0.999616,17.920067,211.551,False,,
2026-07-03T07:34:39.059429+00:00,2,9865e6f08db1be95,openai-model-fast-v6-hard1-80-xhigh-v2,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc387_f,hard,1,3,completed,completed,451,3862,17.991281,1.605516,19.731487,195.728,True,,
2026-07-03T07:35:02.982883+00:00,2,84c946c09e379fb1,anthropic-claude-fable-5-v6-hard1-80-xhigh-v2,anthropic,claude-fable-5,,xhigh,32000,v6,True,6,OpenAIChat,abc387_f,hard,1,3,completed,end_turn,596,3582,29.824556,12.165343,42.103472,85.076,True,,
2026-07-03T07:35:49.956229+00:00,2,84c946c09e379fb1,anthropic-claude-fable-5-v6-hard1-80-xhigh-v2,anthropic,claude-fable-5,,xhigh,32000,v6,True,6,OpenAIChat,abc388_g,hard,2,1,completed,end_turn,1305,4849,44.924912,11.775065,56.874987,85.257,True,,
2026-07-03T07:36:49.936612+00:00,2,9865e6f08db1be95,openai-model-fast-v6-hard1-80-xhigh-v2,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc388_g,hard,2,1,completed,completed,1052,4258,19.299643,0.759080,20.232324,210.455,False,,
2026-07-03T07:37:13.246128+00:00,2,9865e6f08db1be95,openai-model-fast-v6-hard1-80-xhigh-v2,openai,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,https://api.openai.com/v1,xhigh,32000,v6,True,6,OpenAIChat,abc388_g,hard,2,2,completed,completed,1052,3583,16.381847,0.710182,17.192062,208.410,True,,
2026-07-03T07:37:33.694107+00:00,2,84c946c09e379fb1,anthropic-claude-fable-5-v6-hard1-80-xhigh-v2,anthropic,claude-fable-5,,xhigh,32000,v6,True,6,OpenAIChat,abc388_g,hard,2,2,completed,end_turn,1305,4781,41.654183,10.651388,52.361822,91.307,True,,
